Date,Category,Description,Amount,Type
4/14/2025,Grocery,Grocery related transaction,-13397.04,Expense
6/15/2025,Dividends,Dividends related transaction,60037.76,Income
2/23/2025,Utilities,Utilities related transaction,-4374.19,Expense
2/23/2025,Dining,Dining related transaction,-1159.21,Expense
2/19/2025,Utilities,Utilities related transaction,-7084.92,Expense
5/31/2025,Rental Income,Rental Income related transaction,37965.47,Income
6/23/2025,Fuel,Fuel related transaction,-14418.36,Expense
4/19/2025,Investment,Investment related transaction,-12590.84,Expense
1/19/2025,Rental Income,Rental Income related transaction,46715.52,Income
6/24/2025,Grocery,Grocery related transaction,-3206.17,Expense
5/14/2025,Entertainment,Entertainment related transaction,-5421.35,Expense
5/7/2025,Rental Income,Rental Income related transaction,31458.5,Income
5/26/2025,Grocery,Grocery related transaction,-6502.41,Expense
7/9/2025,Grocery,Grocery related transaction,-8178.06,Expense
6/7/2025,Rental Income,Rental Income related transaction,14716.4,Income
4/24/2025,Shopping,Shopping related transaction,-14836.85,Expense
4/5/2025,Salary,Salary related transaction,48830.88,Income
4/19/2025,Entertainment,Entertainment related transaction,-10513.76,Expense
3/3/2025,Salary,Salary related transaction,69122.44,Income
7/21/2025,Salary,Salary related transaction,50346.83,Income
5/28/2025,Investment,Investment related transaction,-938.56,Expense
2/5/2025,Investment,Investment related transaction,-5885.3,Expense
2/28/2025,Utilities,Utilities related transaction,-7521.68,Expense
5/9/2025,Dining,Dining related transaction,-2087.84,Expense
7/19/2025,Dividends,Dividends related transaction,25898.37,Income
6/16/2025,Fuel,Fuel related transaction,-10406.77,Expense
1/23/2025,Grocery,Grocery related transaction,-13138.94,Expense
3/10/2025,Freelancing,Freelancing related transaction,14256.62,Income
5/31/2025,Fuel,Fuel related transaction,-6026.2,Expense
3/5/2025,Investment,Investment related transaction,-2702.95,Expense
4/20/2025,Dining,Dining related transaction,-876.01,Expense
3/2/2025,Healthcare,Healthcare related transaction,-4663.76,Expense
3/8/2025,Freelancing,Freelancing related transaction,21591.81,Income
2/9/2025,Travel,Travel related transaction,-7211.4,Expense
1/14/2025,Utilities,Utilities related transaction,-5324.34,Expense
6/28/2025,Grocery,Grocery related transaction,-10779.54,Expense
7/25/2025,Grocery,Grocery related transaction,-1958.25,Expense
7/8/2025,Rent,Rent related transaction,-12290.15,Expense
5/8/2025,Fuel,Fuel related transaction,-12113.45,Expense
4/1/2025,Utilities,Utilities related transaction,-13009.86,Expense
2/20/2025,Entertainment,Entertainment related transaction,-11688,Expense
1/30/2025,Gift,Gift related transaction,20467.31,Income
3/20/2025,Grocery,Grocery related transaction,-9152.61,Expense
1/2/2025,Travel,Travel related transaction,-12836.64,Expense
5/15/2025,Rental Income,Rental Income related transaction,69011.92,Income
5/20/2025,Dining,Dining related transaction,-695.27,Expense
2/6/2025,Freelancing,Freelancing related transaction,40395.46,Income
6/20/2025,Dining,Dining related transaction,-1259.4,Expense
